srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
32,2,19,3,3,4,4,4,3,3,3,4,2,2,2,5,2,0,12,6
275,2,11,1,2,2,2,2,1,1,3,1,2,4,4,4,1,2,6,8
1180,2,-99,3,-99,4,3,4,3,3,3,3,2,4,4,4,4,1,1,6
1600,2,19,3,4,2,2,2,1,1,1,1,1,4,1,1,1,1,1,8
840,4,16,3,3,2,2,2,1,2,2,1,1,2,2,4,1,0,12,7
1483,2,11,2,3,4,3,2,2,2,3,2,2,2,2,2,2,1,1,6
3,4,5,1,2,2,2,2,1,1,1,1,1,4,4,5,5,-1,-1,6
1635,2,2,3,4,4,3,4,2,2,2,2,2,4,4,4,2,0,12,5
1604,2,13,3,5,5,2,5,1,1,1,2,1,4,4,4,4,-1,-1,8
21,4,11,2,5,2,5,4,4,1,1,1,1,1,1,3,1,-1,-1,6
2023,2,1,-98,4,4,3,3,3,3,4,4,4,1,2,2,4,0,12,6
1789,4,11,4,4,3,3,3,2,2,2,2,1,4,4,4,2,0,12,6
780,2,16,96,2,3,2,2,2,2,1,3,2,2,4,4,2,1,6,8
859,2,28,96,4,4,4,3,4,3,3,3,3,4,4,4,4,0,12,4
733,2,4,1,4,4,4,4,2,2,2,3,2,2,4,2,4,0,12,3
2355,1,1,1,5,5,5,5,3,1,4,2,2,4,5,5,5,-1,-1,8
750,5,19,1,3,3,3,2,2,2,2,2,2,4,4,4,4,1,6,5
1538,2,-98,96,3,2,3,2,1,1,3,2,2,4,4,4,2,0,12,6
2607,2,16,1,3,3,3,2,2,2,2,2,1,2,4,4,1,-1,-1,8
1052,3,36,8,4,3,2,2,2,2,2,1,1,3,4,4,4,-1,-1,8
977,4,11,3,3,2,3,2,2,2,1,2,1,5,5,5,1,0,12,8
466,4,13,1,4,4,5,2,3,2,3,3,1,2,4,4,2,-1,-1,8
537,4,13,1,5,3,4,3,3,1,2,3,3,2,2,4,1,-1,-1,8
1271,4,11,96,5,2,2,5,1,1,1,3,1,2,2,2,2,0,8,4
293,2,13,-98,3,4,4,5,2,2,3,3,3,2,2,2,2,0,12,4
2498,4,16,1,3,3,3,3,4,4,4,4,4,4,4,4,4,0,12,3
656,2,19,3,1,1,2,1,1,1,2,2,1,4,4,4,1,1,6,7
1324,1,1,1,5,4,5,5,1,1,3,1,3,4,5,4,2,-1,-1,7
464,5,19,96,4,2,2,3,3,3,3,4,2,5,5,5,1,-1,-1,7
199,2,11,1,3,3,3,3,3,1,1,2,1,4,2,2,2,1,6,4
1233,2,1,3,2,1,4,4,2,2,4,4,1,2,4,4,2,-1,-1,8
1428,2,30,3,4,2,4,2,3,3,4,3,3,2,2,2,2,1,6,4
2468,2,5,3,5,4,4,4,1,1,2,2,2,4,4,4,2,0,12,8
1774,4,20,3,3,3,3,2,3,2,2,3,2,4,4,4,2,0,8,8
103,3,96,1,5,4,3,3,1,1,1,1,1,1,3,3,1,-1,-1,8
1137,1,28,1,2,2,3,2,1,1,3,2,1,2,4,5,5,-1,-1,8
215,4,11,1,2,1,3,1,3,3,2,3,2,1,2,4,2,0,12,7
4,5,29,1,2,2,4,4,4,3,4,4,3,5,5,5,5,-1,-1,6
1329,4,11,4,2,4,3,2,2,2,2,3,2,2,4,5,2,0,12,5
2384,4,28,3,3,1,2,2,1,1,2,3,1,1,1,2,2,0,12,7
772,5,16,5,1,1,1,1,1,1,1,3,1,2,4,2,2,2,6,6
1165,2,5,4,2,2,2,2,1,2,2,2,1,4,4,4,2,2,6,8
2267,2,17,3,4,4,4,2,2,1,2,2,1,2,4,2,2,0,12,5
137,2,11,4,-98,3,3,-98,3,1,3,2,2,4,5,5,4,-1,-1,8
1858,4,16,3,1,1,1,1,1,1,1,2,1,4,2,5,1,2,6,8
1067,3,13,95,2,1,4,3,1,1,3,3,1,4,4,4,1,-1,-1,8
1019,1,1,3,4,4,3,3,3,2,1,4,2,4,4,4,4,0,12,7
1226,4,29,3,1,1,2,3,2,1,1,1,1,2,2,4,1,0,12,7
990,2,96,1,3,3,3,3,1,2,3,2,2,4,4,4,2,1,1,7
509,2,1,3,3,3,4,3,3,3,3,3,3,2,5,4,4,0,12,5
1910,4,11,-98,5,2,3,5,1,2,2,3,1,2,4,4,4,2,6,4
128,2,11,1,3,3,3,3,3,3,3,3,3,2,4,4,4,0,12,6
770,2,19,1,4,2,3,3,3,3,3,3,3,4,4,4,2,2,6,6
1061,4,16,1,3,2,3,2,1,1,2,2,1,2,2,1,1,0,8,5
305,4,11,96,2,2,2,2,2,2,2,2,1,2,2,2,2,1,6,6
452,2,5,1,3,3,4,2,1,2,3,2,1,2,4,2,2,0,12,7
320,2,16,1,3,3,4,4,2,2,4,3,2,2,5,5,1,0,12,8
595,4,1,1,4,5,3,4,1,1,2,1,1,2,2,4,2,1,1,4
1384,2,1,3,5,5,3,3,1,1,1,1,1,4,4,4,2,2,6,6
1687,4,13,6,5,4,4,2,3,1,4,3,1,1,4,4,1,-1,-1,7
308,2,-98,-99,3,2,3,3,2,2,2,2,2,2,4,4,2,0,12,7
269,4,16,34,2,2,1,3,2,2,1,3,2,2,4,2,2,-1,-1,5
1072,4,1,1,4,5,2,2,2,1,2,1,1,1,1,1,1,-1,-1,8
1070,4,16,6,5,4,4,4,2,2,3,3,2,2,4,4,1,-1,-1,7
2034,4,1,2,1,1,3,3,2,2,3,2,1,2,2,1,4,0,8,6
1069,2,1,6,3,3,3,3,2,2,2,4,2,4,4,4,4,-1,-1,6
28,4,-98,6,5,1,1,2,1,1,2,1,2,5,5,4,4,-1,-1,8
1214,2,20,3,2,2,4,2,2,2,3,4,2,4,4,4,4,0,12,7
463,2,1,1,5,4,4,5,2,3,2,3,2,4,5,4,1,-1,-1,8
64,4,13,3,5,5,1,5,1,1,1,1,1,4,5,4,1,0,12,8
721,2,6,1,5,5,3,2,2,1,1,2,2,4,4,2,1,0,12,4
1846,2,11,1,4,2,4,2,2,2,3,2,2,4,2,4,2,2,6,4
535,2,28,1,3,5,2,2,1,1,1,2,4,5,4,4,-98,-1,-1,8
1246,4,-98,-98,4,4,4,2,1,1,2,2,2,2,4,4,2,0,12,4
33,2,13,3,4,5,4,4,1,2,2,1,2,4,4,2,2,1,6,5
1155,2,30,1,5,5,4,5,1,2,3,2,1,2,4,4,2,1,6,4
613,2,13,3,5,5,2,2,1,1,1,1,1,4,5,5,2,-1,-1,8
1219,2,34,2,2,2,4,2,2,2,2,2,2,4,4,4,2,0,12,8
249,2,17,1,4,3,3,3,3,4,3,3,4,2,2,2,2,2,1,8
1859,4,11,4,3,5,4,4,3,3,4,3,3,5,5,5,5,2,6,8
863,2,19,8,3,3,2,2,2,2,2,2,2,2,2,2,2,2,6,5
688,2,11,3,1,1,2,1,1,1,1,1,1,2,5,4,1,-1,-1,8
304,2,13,1,2,2,1,1,1,1,1,1,1,4,5,4,1,0,12,3
1591,4,16,3,1,3,2,2,1,1,1,1,1,5,5,5,5,-1,-1,5
1986,2,16,3,3,3,4,2,3,2,3,4,3,2,2,2,2,0,12,5
51,2,1,-98,4,4,4,4,2,2,2,2,1,2,4,2,2,1,1,4
1768,4,16,4,4,2,4,4,3,3,4,3,2,5,5,5,5,0,12,5
1092,2,4,3,2,3,4,3,2,1,4,3,3,1,2,2,4,0,12,4
79,2,4,1,4,5,4,5,2,2,2,3,2,4,5,4,2,0,12,8
1969,2,96,4,3,3,3,2,2,2,2,3,1,1,4,2,4,0,12,3
1648,2,8,3,2,3,4,2,1,1,2,2,2,1,5,2,1,0,12,5
1592,1,2,3,3,5,3,2,1,2,1,3,3,4,5,4,2,1,6,2
578,2,1,-98,3,3,4,3,3,2,4,4,3,2,2,2,4,1,6,4
1266,2,5,3,5,5,4,4,1,2,3,3,4,4,2,2,2,1,1,4
787,1,16,-98,3,2,2,2,2,2,2,2,2,2,4,4,2,1,6,5
1849,4,16,1,3,2,2,2,3,1,4,4,2,2,2,4,1,1,6,4
1462,2,16,-98,3,4,3,3,2,2,2,2,2,4,4,4,2,2,6,8
1193,2,1,1,2,5,4,4,1,1,2,2,1,2,4,4,2,1,6,4
862,2,1,11,4,4,3,2,1,1,2,2,1,1,4,2,1,0,12,7
112,4,20,4,1,1,2,2,1,1,2,4,1,4,4,4,2,0,12,3
1289,2,1,6,2,2,2,2,1,1,1,1,1,1,1,1,1,0,12,6
1002,2,17,1,4,4,3,4,1,1,1,2,2,2,2,2,2,0,12,6
430,2,6,-98,5,3,4,1,1,1,2,1,1,5,5,5,1,0,12,5
1707,5,1,1,4,3,4,3,2,2,1,2,2,4,4,4,4,-1,-1,3
333,4,13,1,3,3,3,3,1,1,2,2,2,2,4,4,4,0,12,7
18,2,1,97,2,2,3,3,4,3,3,3,3,4,5,4,5,-1,-1,8
406,4,11,3,2,2,2,2,1,1,1,2,1,2,2,2,2,0,12,8
1677,1,12,1,5,5,5,5,1,1,1,1,1,2,2,2,1,1,1,8
1225,2,17,-98,1,3,4,3,2,3,3,2,2,1,5,5,1,2,6,6
625,5,11,3,1,3,1,1,2,1,2,2,2,2,5,4,4,2,6,6
880,3,11,3,2,1,3,2,2,1,2,2,1,1,2,2,2,0,8,8
1464,1,16,1,4,2,3,3,2,2,3,4,2,5,5,2,4,1,6,4
1772,2,16,1,2,2,4,4,2,2,3,4,2,2,4,2,4,0,8,3
2313,4,13,3,3,2,1,2,2,1,2,2,1,2,2,4,1,1,6,3
2221,2,13,1,5,5,4,4,1,2,3,3,2,4,4,5,4,-1,-1,7
853,2,11,3,3,3,3,3,2,2,2,3,2,4,4,4,4,0,12,6
689,5,5,4,4,2,2,3,2,2,2,2,1,4,5,4,2,0,12,7
1086,2,11,3,4,2,4,3,3,3,3,4,3,4,5,5,4,1,6,8
1682,2,1,2,4,4,2,2,3,1,2,2,1,4,5,4,4,-1,-1,8
836,4,16,11,2,1,1,1,1,1,1,1,1,2,2,2,1,0,12,5
37,2,1,3,4,4,3,3,1,2,2,1,1,2,2,2,1,1,1,4
482,2,4,4,4,4,4,3,3,3,3,3,2,2,4,4,4,1,6,3
469,2,19,5,1,4,4,4,4,3,4,1,2,1,1,2,4,1,6,3
1813,1,37,3,4,2,3,3,2,2,3,4,3,1,4,2,4,2,6,4
974,2,-98,3,2,3,2,2,3,2,2,3,2,4,5,5,2,0,12,2
350,4,35,3,5,5,2,2,1,2,2,4,2,2,2,1,4,0,12,5
1730,1,32,1,4,4,3,4,2,2,2,2,1,5,5,5,5,-1,-1,8
2013,2,16,3,2,2,2,1,2,2,2,3,1,1,2,2,1,1,1,5
1808,2,1,-99,4,4,3,-99,-99,-98,-99,-99,-98,3,3,3,-99,0,12,2
1933,1,20,1,4,4,4,4,2,2,2,2,2,2,4,2,2,-1,-1,8
514,4,29,-99,2,2,2,1,2,2,1,2,2,4,5,5,2,0,12,5
1211,4,12,-98,2,2,3,3,1,2,1,1,1,1,1,4,1,1,6,8
920,4,5,3,5,3,2,5,3,2,2,3,1,2,4,2,1,0,12,6
1300,2,1,1,4,4,4,3,2,2,2,2,2,2,4,2,4,1,1,3
1779,2,-98,-98,2,2,2,2,2,1,2,3,2,4,4,4,4,0,8,8
697,2,19,4,4,4,4,5,4,4,3,3,4,5,5,5,5,0,1,6
2061,2,96,1,2,2,2,2,2,2,3,2,2,4,4,4,2,2,6,8
2237,2,1,1,3,5,3,4,3,3,4,3,4,4,4,-98,2,1,1,4
339,5,11,1,2,2,2,4,2,2,2,2,2,2,4,2,2,0,12,7
1163,4,20,4,2,2,2,2,3,3,2,3,2,2,2,4,1,1,6,4
842,4,11,4,2,2,3,3,2,1,3,3,1,2,2,5,1,0,12,3
1913,4,11,2,4,4,4,4,3,3,3,4,3,2,4,4,4,0,12,5
534,4,16,11,3,4,3,3,4,4,2,4,2,5,5,5,2,1,1,5
261,2,-98,1,3,3,3,3,2,2,2,2,2,2,4,4,4,0,12,7
1162,4,20,4,2,2,2,2,1,2,1,2,1,2,2,4,2,1,1,3
456,1,5,3,5,5,5,5,1,1,1,1,1,2,2,2,2,2,6,6
1293,2,4,-99,4,2,3,3,2,2,2,2,1,4,5,4,2,1,6,3
61,4,19,6,3,2,2,2,2,2,2,2,2,4,4,5,2,0,12,6
243,2,96,3,2,2,4,2,2,2,2,2,2,4,4,4,4,0,12,7
560,2,-98,1,3,3,4,2,2,3,2,3,2,4,4,4,4,1,6,2
1390,2,11,97,2,2,2,2,1,1,1,2,2,5,5,5,5,-1,-1,5
1911,4,16,3,2,2,3,2,3,2,4,3,3,2,4,4,4,0,8,8
1594,2,16,1,3,3,4,2,2,1,3,2,3,2,1,1,1,0,12,7
1822,2,31,6,3,4,3,3,2,-98,1,3,3,4,5,5,4,1,6,4
449,2,1,-99,4,3,3,4,2,3,4,4,2,1,2,1,2,0,12,4
896,2,11,6,3,3,3,3,3,2,3,3,3,2,2,4,2,0,12,6
543,2,36,96,3,3,3,4,3,3,3,2,2,2,2,2,4,0,12,6
156,2,13,97,4,4,3,4,2,2,2,3,1,2,2,4,2,1,1,3
1387,5,11,3,4,1,2,2,1,1,2,2,1,4,4,4,2,0,12,7
2612,2,13,3,4,2,3,2,2,1,2,3,1,1,1,1,1,1,6,5
1318,4,1,1,5,5,3,5,1,1,2,1,1,4,4,4,1,0,12,7
1820,2,16,4,3,3,4,5,2,2,2,3,1,4,4,4,2,1,6,7
26,1,13,13,5,1,5,3,1,1,1,1,1,5,5,5,4,-1,-1,7
801,2,11,1,2,1,2,2,1,1,1,2,2,4,4,4,2,0,12,7
846,4,11,4,2,2,2,2,2,2,2,4,1,4,4,4,2,0,8,1
623,4,13,3,3,3,3,3,1,2,2,2,1,4,2,5,2,1,1,8
1934,2,30,8,3,4,3,3,1,1,2,1,1,2,2,2,2,0,12,6
1354,2,1,4,5,5,5,5,1,1,1,1,1,4,4,2,2,0,12,3
169,2,11,-98,4,4,3,2,2,2,2,2,2,4,4,2,2,1,6,2
797,1,20,4,2,2,2,2,1,1,3,3,2,4,4,4,2,1,6,4
1718,2,34,3,3,3,4,3,2,1,2,2,2,4,4,4,2,0,12,8
1654,3,36,1,2,2,2,2,1,1,3,2,1,4,5,4,4,-1,-1,7
2268,2,32,1,3,3,3,4,1,2,3,3,2,2,4,4,2,0,8,6
335,4,35,11,4,4,1,4,2,1,2,3,1,5,4,2,4,1,6,7
1899,2,16,3,3,3,3,3,2,2,2,2,2,2,4,4,1,0,8,8
299,2,27,1,3,4,4,3,2,2,4,4,3,2,4,2,1,0,8,2
844,4,30,1,4,4,4,4,2,2,2,2,2,4,4,4,2,0,12,6
166,2,32,4,3,1,2,2,1,1,2,3,1,2,5,4,4,0,12,7
2154,2,4,4,5,5,4,5,1,1,2,1,3,5,4,4,5,-1,-1,5
541,2,16,3,2,4,2,2,2,2,2,3,1,2,4,4,2,2,6,1
725,4,13,3,3,2,2,2,1,2,1,1,1,1,1,1,1,2,6,6
101,2,1,3,2,1,1,1,1,1,1,2,2,1,4,4,1,2,6,1
1422,2,16,3,2,2,1,1,1,2,2,3,1,1,1,4,4,0,12,3
89,1,11,1,5,4,3,2,3,3,3,3,3,4,5,4,2,1,6,4
1489,2,1,1,3,3,3,3,2,2,2,3,3,2,2,2,2,1,6,4
1302,2,1,1,5,4,4,1,1,1,1,2,1,4,4,2,2,1,6,4
525,2,13,1,4,3,3,5,1,1,1,1,1,1,4,1,1,1,1,4
1432,2,37,4,3,2,2,2,1,3,1,3,1,2,1,4,1,0,12,2
1866,2,11,4,3,2,4,2,3,3,2,4,3,4,4,2,2,1,6,3
366,2,17,4,2,2,2,3,1,2,2,1,1,2,4,2,1,0,12,4
280,2,13,3,4,3,4,4,2,4,2,2,2,4,4,4,4,-1,-1,8
31,2,13,96,5,3,4,2,1,1,2,4,2,5,4,4,5,-1,-1,7
1556,2,11,3,2,2,2,2,2,2,2,2,2,2,2,4,2,0,12,7
532,2,1,3,4,4,4,4,2,1,2,2,2,1,2,1,1,0,12,8
892,4,16,3,1,1,1,1,1,1,1,3,1,1,4,4,2,0,12,7
898,2,96,1,5,5,4,5,1,1,1,3,1,5,5,5,5,1,6,7
607,4,-98,4,3,4,3,3,3,3,-98,3,3,4,4,5,4,2,6,8
1210,2,11,3,5,2,3,5,2,2,2,3,1,2,2,2,2,0,12,6
973,5,11,4,2,3,2,3,1,2,1,3,1,4,4,4,4,0,12,5
755,2,16,4,3,3,2,2,2,2,4,4,3,2,4,4,2,0,12,5
194,2,32,2,2,2,2,2,1,1,2,2,2,2,5,4,2,1,1,5
204,2,16,1,2,2,4,2,2,3,3,3,3,4,5,5,2,0,8,4
615,2,13,1,4,4,3,4,2,3,3,3,2,5,5,4,2,1,6,8
1875,4,16,4,2,5,1,5,1,1,1,1,1,2,2,5,1,0,12,6
921,5,11,4,4,3,3,3,2,2,2,2,2,4,4,4,2,1,1,6
1043,3,13,1,4,2,4,3,1,1,3,1,1,4,4,4,1,-1,-1,7
113,4,16,8,1,1,1,1,1,1,1,1,1,2,4,4,2,0,12,4
2,3,5,95,5,4,2,2,2,2,1,2,1,2,2,4,1,-1,-1,4
1732,2,11,1,4,4,4,3,3,2,2,2,2,2,4,4,2,2,6,8
1025,2,13,4,3,3,3,4,1,1,1,3,1,5,5,5,5,-1,-1,8
1515,4,6,97,4,4,1,5,1,1,2,2,2,2,4,4,2,0,12,6
1534,5,35,3,2,2,2,1,1,1,1,4,1,2,4,4,1,0,12,8
181,4,5,3,2,1,2,2,1,1,2,2,1,4,5,4,1,0,12,5
1632,4,16,-98,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,4
773,2,16,1,4,2,3,3,2,2,3,2,2,2,4,4,2,2,1,7
221,2,1,1,4,4,3,3,1,1,1,2,3,4,4,4,1,0,12,5
1447,4,11,3,2,2,2,3,2,2,2,3,2,2,4,4,2,2,6,8
1205,2,5,3,4,2,1,5,1,1,1,1,1,4,2,4,2,0,12,7
2015,4,12,11,2,2,3,2,1,2,2,2,1,4,4,4,2,0,12,6
1525,4,16,2,3,4,3,3,2,3,3,3,3,2,5,4,4,2,6,8
47,2,19,4,3,3,3,3,2,3,3,2,2,4,4,4,4,1,1,4
1466,2,1,1,3,1,3,1,1,1,1,1,1,1,4,4,1,0,12,8
428,2,34,1,4,3,4,4,3,2,3,3,3,2,2,2,4,2,6,5
1902,4,32,3,2,1,2,1,1,2,3,2,1,2,4,4,2,0,12,7
1514,2,1,3,4,3,4,4,4,3,4,3,3,5,5,5,5,-1,-1,8
1496,2,13,97,4,3,3,3,2,3,3,3,3,4,4,4,2,0,12,8
1870,4,16,4,2,2,2,2,2,2,2,2,2,2,4,2,4,2,6,6
2025,2,4,-98,4,4,3,3,3,3,3,3,3,4,2,2,2,0,12,8
2190,2,4,3,3,3,3,3,3,3,2,4,3,4,4,4,2,0,12,1
954,4,16,-98,4,3,4,4,3,2,4,3,3,1,4,2,1,0,12,7
785,4,20,1,2,1,2,2,1,1,1,1,1,1,2,2,1,0,12,8
1516,4,11,3,3,2,3,2,2,2,2,2,1,1,2,4,1,0,12,8
964,4,16,96,2,2,3,2,2,1,3,3,1,4,4,4,1,0,12,8
157,2,16,1,2,1,4,3,2,1,3,2,2,2,4,4,4,0,12,7
1742,5,11,4,3,3,2,1,3,3,2,4,2,2,4,4,4,1,1,5
1134,5,16,11,1,5,1,1,1,4,1,2,1,1,1,1,1,-1,-1,7
1012,4,6,1,3,5,4,2,3,2,3,2,2,5,5,5,1,-1,-1,8
1371,2,11,1,2,4,4,3,4,4,4,4,4,5,5,5,5,1,6,6
1644,2,17,1,3,5,5,5,2,1,3,3,1,1,4,2,1,1,6,6
1460,2,16,3,3,4,3,3,2,2,3,2,2,1,2,2,4,2,6,6
878,4,-98,3,5,5,5,5,1,1,2,3,1,2,4,4,2,0,12,8
941,4,36,1,5,4,4,5,2,1,2,2,1,2,4,2,2,1,1,3
621,5,11,-99,1,1,1,1,1,1,1,1,1,2,4,4,1,0,12,8
769,4,11,3,3,2,3,3,3,2,3,4,2,4,5,5,4,2,6,6
8,1,1,1,4,5,4,5,1,2,2,2,1,5,5,4,4,-1,-1,8
382,4,11,3,3,3,3,4,3,3,2,3,1,2,4,4,4,0,12,8
2130,5,37,4,2,2,1,1,1,1,1,3,1,2,4,2,2,1,1,6
1154,4,35,4,1,2,2,2,3,2,1,3,2,2,4,4,4,0,12,6
278,2,36,1,3,2,3,2,3,2,3,3,3,1,2,2,2,1,1,6
1081,4,16,4,5,5,1,1,1,1,1,1,1,2,4,4,4,0,12,7
2069,4,11,3,2,3,3,3,1,3,2,2,1,4,4,4,2,0,12,7
1517,5,16,4,2,2,2,2,1,1,2,2,2,4,4,4,2,0,12,7
971,4,19,3,2,2,4,3,3,2,3,2,2,2,5,2,2,0,12,8
268,4,96,3,3,3,3,5,2,2,2,2,1,1,4,2,2,0,8,7
938,2,17,1,3,5,3,3,2,1,1,2,1,1,4,4,2,0,12,8
1305,4,19,3,2,2,2,2,1,1,2,3,1,4,4,4,2,0,12,8
886,2,16,3,5,5,5,5,1,1,1,2,1,1,2,2,1,0,12,5
718,5,11,3,2,2,3,2,2,3,2,4,2,4,4,4,4,0,12,7
568,4,13,1,2,1,1,2,1,1,2,1,2,2,5,4,5,-1,-1,7
1757,4,16,-98,3,2,3,3,2,1,2,3,2,4,4,4,2,0,12,7
1140,4,11,2,2,2,2,1,1,2,2,3,2,4,5,5,1,1,1,6
530,4,4,3,2,2,2,2,1,1,1,2,2,5,5,5,5,2,6,7
1861,4,13,2,3,3,2,2,1,1,2,3,2,2,5,4,2,0,12,8
1929,4,13,2,4,2,4,4,2,1,2,1,2,5,4,4,1,-1,-1,8
1403,5,16,13,3,3,1,3,1,1,1,1,1,2,2,4,1,1,6,4
1021,4,13,11,2,4,1,1,4,4,1,1,1,2,2,4,2,-1,-1,8
1202,4,-98,4,2,3,1,2,1,1,1,2,1,2,2,2,2,0,12,6
1026,2,13,2,3,-98,2,3,1,1,3,2,1,5,5,5,5,-1,-1,8
267,5,13,11,2,2,2,2,1,1,2,1,1,4,4,4,1,0,12,5
387,2,1,1,2,2,5,4,3,2,4,4,2,2,2,2,4,2,6,8
1639,4,20,3,3,3,4,3,3,4,3,3,2,5,5,5,5,2,6,4
2333,4,20,96,5,5,1,2,1,3,2,2,2,1,2,4,2,1,1,8
490,4,16,3,2,2,2,2,2,1,2,2,2,4,4,2,2,-1,-1,7
825,2,96,2,2,1,1,2,1,3,1,2,1,4,4,4,4,0,12,7
459,5,11,5,4,1,3,3,1,2,3,3,3,5,5,5,5,-1,-1,8
827,2,16,4,2,2,2,2,2,2,3,2,1,4,5,4,4,0,12,4
927,2,11,4,1,1,2,2,1,1,1,1,1,2,2,4,1,0,12,8
970,4,11,3,2,1,1,2,1,1,1,3,1,1,2,1,1,2,6,7
1680,2,16,2,3,2,2,2,2,2,3,2,2,4,4,4,2,-1,-1,7
1034,5,16,4,4,2,2,2,2,2,2,2,2,5,4,5,1,0,12,4
2542,5,11,3,3,3,2,2,3,3,2,3,2,2,2,4,2,0,12,8
1893,2,1,4,3,3,4,4,2,2,2,2,2,2,4,2,2,1,1,4
2209,2,13,2,3,2,4,3,3,2,3,3,2,4,5,5,1,0,12,7
6,4,13,3,4,2,2,4,1,2,2,2,2,5,5,5,1,-1,-1,8
890,1,16,-98,1,5,2,1,2,2,2,2,2,1,2,2,1,0,12,8
7,5,16,3,5,1,1,1,1,1,1,1,1,5,5,5,5,-1,-1,8
580,2,11,3,3,2,2,2,1,1,1,1,1,4,4,4,2,2,6,6
454,4,36,1,4,2,3,3,2,1,1,2,2,2,2,1,2,1,6,8
865,4,96,11,2,2,2,2,1,1,2,1,1,2,5,5,1,0,12,8
969,1,13,1,4,4,4,4,1,1,1,1,1,4,4,4,1,2,6,8
1201,4,11,4,3,1,2,3,4,4,3,3,2,4,4,4,4,0,12,5
1555,2,13,1,4,4,4,4,2,1,4,3,3,5,5,5,5,-1,-1,7
616,4,-98,3,3,2,2,3,2,2,2,2,2,4,4,4,2,1,6,2
1074,5,13,2,4,4,3,2,1,1,1,1,1,2,1,2,5,1,1,6
1826,4,16,3,4,1,4,2,1,2,2,3,2,2,4,2,2,0,8,6
847,1,1,3,2,4,3,2,2,2,3,3,3,2,4,4,4,0,12,5
14,2,19,2,2,2,4,2,1,2,3,3,2,1,4,4,-98,-1,-1,8
